Table 1/5: USA State Information Requests,,,,
Time period start,State,Information requests,Compliance,Accounts specified
2020-01-01,Mississippi,10,2,
2020-01-01,Missouri,22,9,
2020-01-01,Nebraska,7,2,
2020-01-01,Nevada,7,20,
2020-01-01,New Hampshire,5,0,
2020-01-01,New Jersey,41,44,
2020-01-01,New Mexico,5,0,
2020-01-01,New York,293,121,
2020-01-01,North Carolina,20,14,
2020-01-01,North Dakota,0,2,
2020-01-01,Ohio,33,35,
2020-01-01,Oklahoma,186,3,
2020-01-01,Oregon,14,8,
2020-01-01,Pennsylvania,140,26,
2020-01-01,Rhode Island,4,2,
2020-01-01,South Carolina,6,6,
2020-01-01,South Dakota,2,5,
2020-01-01,Tennessee,14,9,
2020-01-01,Texas,88,73,
2020-01-01,US Embassies,37,2,
2020-01-01,Utah,7,7,
2020-01-01,Vermont,4,1,
2020-01-01,Virginia,170,24,
2020-01-01,Washington,47,13,
2020-01-01,West Virginia,32,10,
2020-01-01,Wisconsin,17,14,
2020-01-01,Wyoming,0,1,
2019-07-01,Alabama,5,5,
2019-07-01,Arizona,9,10,
2019-07-01,Arkansas,5,2,
2019-07-01,California,185,76,
2019-07-01,Colorado,19,2,
2019-07-01,Connecticut,4,1,
2019-07-01,Delaware,2,0,
2019-07-01,District of Columbia,327,7,
2019-07-01,Florida,97,36,
2019-07-01,Georgia,25,18,
2019-07-01,Hawaii,2,0,
2019-07-01,Idaho,1,1,
2019-07-01,Illinois,37,21,
2019-07-01,Indiana,8,13,
2019-07-01,Iowa,6,3,
2019-07-01,Kansas,2,10,
2019-07-01,Kentucky,4,6,
2019-07-01,Louisiana,9,22,
2019-07-01,Maine,1,1,
2019-07-01,Maryland,44,29,
2019-07-01,Massachusetts,28,8,
2019-07-01,Michigan,27,18,
2019-07-01,Minnesota,13,5,
2019-07-01,Mississippi,3,1,
2019-07-01,Missouri,24,4,
2019-07-01,Montana,1,0,
2019-07-01,Nebraska,2,1,
2019-07-01,Nevada,6,19,
2019-07-01,New Hampshire,4,3,
2019-07-01,New Jersey,38,30,
2019-07-01,New Mexico,3,1,
2019-07-01,New York,203,68,
2019-07-01,North Carolina,17,15,
2019-07-01,Ohio,31,24,
2019-07-01,Oklahoma,6,1,
2019-07-01,Oregon,12,4,
2019-07-01,Pennsylvania,97,25,
2019-07-01,Puerto Rico,5,0,
2019-07-01,Rhode Island,0,4,
2019-07-01,South Carolina,2,6,
2019-07-01,South Dakota,1,1,
2019-07-01,Tennessee,29,11,
2019-07-01,Texas,82,77,
2019-07-01,US Embassies,12,0,
2019-07-01,Utah,3,3,
2019-07-01,Vermont,10,0,
2019-07-01,Virginia,108,21,
2019-07-01,Washington,37,6,
2019-07-01,West Virginia,31,7,
2019-07-01,Wisconsin,13,5,
,,,,
,,,,
Table 3/5: Types of Legal Process,,,,
Time period start,Subpoenas,Court Orders,Search Warrants,Others
2020-01-01,0.704,0.107,0.179,0.01
2019-07-01,0.651,0.114,0.224,0.011
2019-01-01,0.5,0.09,0.19,0.22
2018-07-01,0.53,0.08,0.15,0.24
2018-01-01,0.52,0.1,0.17,0.21
2017-07-01,0.53,0.12,0.18,0.17
2017-01-01,0.48,0.13,0.21,0.18
2016-07-01,0.51,0.12,0.19,0.18
2016-01-01,0.55,0.11,0.18,0.16
2015-07-01,0.54,0.1,0.16,0.2
2015-01-01,0.55,0.06,0.2,0.19
2014-07-01,0.57,0.06,0.23,0.14
2014-01-01,0.53,0.1,0.26,0.11
2013-07-01,0.55,0.07,0.261,0.12
2013-01-01,0.56,0.11,0.23,0.1
2012-07-01,0.599,0.11,0.19,0.1
,,,,
,,,,
Table 4/5: User Notice,,,,
Time period start,Percentage of requests under seal,Percentage of requests where user notice provided,Percentage not under seal and no notice provided,
2020-01-01,0.483,0.064,0.453,
2019-07-01,0.52,0.071,0.409,
2019-01-01,0.55,0.05,0.4,
2018-07-01,0.5,0.04,0.46,
2018-01-01,0.44,0.04,0.52,
2017-07-01,0.465,0.039,0.495,
2017-01-01,0.41,0.04,0.55,
2016-07-01,0.445,0.06,0.495,
2016-01-01,0.46,0.07,0.47,
2015-07-01,0.46,0.07,0.47,
2015-01-01,0.45,0.09,0.46,
2014-07-01,0.49,0.11,0.4,
2014-01-01,0.11,0.06,0.83,
2013-07-01,0.28,0.17,0.55,
2013-01-01,0.2,0.19,0.61,
2012-07-01,0.2,0.24,0.56,
,,,,
,,,,
Table 5/5: National Security Requests,,,,
Time period start,num_nsls_gov_initiated,num_nsls_provider_requested,,
2020-01-01,0,0,,
2019-01-01,0,0,,
2018-01-01,1,0,,
2017-01-01,0,0,,
2016-01-01,2,0,,
2015-01-01,5,1,,
2014-01-01,0,0,,
2013-01-01,0,0,,
2012-01-01,0,0,,
2011-01-01,0,0,,
2010-01-01,0,7,,
2009-01-01,0,2,,
